글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용,,
1,2021-05-07,10:10:28,지눌,Kor001@naver.com,1234,"모든 국민은 능력에 따라 균등하게 교육을 받을 권리를 가진다. 대통령의 임기가 만료되는 때에는 임기만료 70일 내지 40일전에 후임자를 선거한다. 국가는 대외무역을 육성하며, 이를 규제·조정할 수 있다. 대통령의 임기는 5년으로 하며, 중임할 수 없다. 광물 기타 중요한 지하자원·수산자원·수력과 경제상 이용할 수 있는 자연력은 법률이 정하는 바에 의하여 일정한 기간 그 채취·개발 또는 이용을 특허할 수 있다.",,
2,2021-05-11,10:10:07,장보고,Kor002@naver.com,1234,언론·출판에 대한 허가나 검열과 집회·결사에 대한 허가는 인정되지 아니한다. 국가원로자문회의의 조직·직무범위 기타 필요한 사항은 법률로 정한다. 대통령은 제3항과 제4항의 사유를 지체없이 공포하여야 한다. 국회의원과 정부는 법률안을 제출할 수 있다. 군사재판을 관할하기 위하여 특별법원으로서 군사법원을 둘 수 있다.,,
3,2021-05-12,10:10:03,이개,Kor003@naver.com,1234,"국회의원의 수는 법률로 정하되, 200인 이상으로 한다. 모든 국민은 인간으로서의 존엄과 가치를 가지며, 행복을 추구할 권리를 가진다. 국가는 개인이 가지는 불가침의 기본적 인권을 확인하고 이를 보장할 의무를 진다. 헌법재판소는 법관의 자격을 가진 9인의 재판관으로 구성하며, 재판관은 대통령이 임명한다.",,
4,2021-05-09,10:10:32,이중섭,Kor004@naver.com,1234,대통령은 법률안의 일부에 대하여 또는 법률안을 수정하여 재의를 요구할 수 없다. 국가안전보장회의는 대통령이 주재한다. 대통령은 취임에 즈음하여 다음의 선서를 한다. 국정의 중요한 사항에 관한 대통령의 자문에 응하기 위하여 국가원로로 구성되는 국가원로자문회의를 둘 수 있다. 새로운 회계연도가 개시될 때까지 예산안이 의결되지 못한 때에는 정부는 국회에서 예산안이 의결될 때까지 다음의 목적을 위한 경비는 전년도 예산에 준하여 집행할 수 있다.,,
5,2021-05-09,10:10:34,박팽년,Kor005@naver.com,1234,언론·출판은 타인의 명예나 권리 또는 공중도덕이나 사회윤리를 침해하여서는 아니된다. 언론·출판이 타인의 명예나 권리를 침해한 때에는 피해자는 이에 대한 피해의 배상을 청구할 수 있다. 법관이 중대한 심신상의 장해로 직무를 수행할 수 없을 때에는 법률이 정하는 바에 의하여 퇴직하게 할 수 있다.,,
6,2021-05-26,10:10:36,황진이,Kor006@naver.com,1234,"국정감사 및 조사에 관한 절차 기타 필요한 사항은 법률로 정한다. 의무교육은 무상으로 한다. 국군은 국가의 안전보장과 국토방위의 신성한 의무를 수행함을 사명으로 하며, 그 정치적 중립성은 준수된다. 모든 국민은 법률이 정하는 바에 의하여 선거권을 가진다. 국무위원은 국무총리의 제청으로 대통령이 임명한다.",,
7,2021-05-28,10:10:31,이완용,Kor007@naver.com,1234,"국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하여야 하며, 농지의 소작제도는 금지된다. 모든 국민은 법률이 정하는 바에 의하여 국가기관에 문서로 청원할 권리를 가진다. 훈장등의 영전은 이를 받은 자에게만 효력이 있고, 어떠한 특권도 이에 따르지 아니한다. 국회의원은 현행범인인 경우를 제외하고는 회기중 국회의 동의없이 체포 또는 구금되지 아니한다.",,
8,2021-05-08,10:10:48,홍길동,Kor008@naver.com,1234,"국회에 제출된 법률안 기타의 의안은 회기중에 의결되지 못한 이유로 폐기되지 아니한다. 다만, 국회의원의 임기가 만료된 때에는 그러하지 아니하다. 모든 국민은 언론·출판의 자유와 집회·결사의 자유를 가진다. 국가는 농수산물의 수급균형과 유통구조의 개선에 노력하여 가격안정을 도모함으로써 농·어민의 이익을 보호한다.",,
9,2021-05-12,10:10:27,단군,Kor009@naver.com,1234,예비비는 총액으로 국회의 의결을 얻어야 한다. 예비비의 지출은 차기국회의 승인을 얻어야 한다. 이 헌법중 공무원의 임기 또는 중임제한에 관한 규정은 이 헌법에 의하여 그 공무원이 최초로 선출 또는 임명된 때로부터 적용한다. 군인은 현역을 면한 후가 아니면 국무위원으로 임명될 수 없다. 국회는 법률에 저촉되지 아니하는 범위안에서 의사와 내부규율에 관한 규칙을 제정할 수 있다.,,
10,2021-05-15,10:10:09,남동예,Kor010@naver.com,1234,"국방상 또는 국민경제상 긴절한 필요로 인하여 법률이 정하는 경우를 제외하고는, 사영기업을 국유 또는 공유로 이전하거나 그 경영을 통제 또는 관리할 수 없다. 국민의 모든 자유와 권리는 국가안전보장·질서유지 또는 공공복리를 위하여 필요한 경우에 한하여 법률로써 제한할 수 있으며, 제한하는 경우에도 자유와 권리의 본질적인 내용을 침해할 수 없다.",,
